word_POS	concreteness
тивный_NOUN	-1.776660167
повлиять_VERB	-1.679477856
способствовать_VERB	-1.657726705
содействовать_VERB	-1.643395771
установление_NOUN	-1.636004563
принятие_NOUN	-1.632795472
сформировываться_VERB	-1.631642156
рассматриваться_VERB	-1.630005955
формироваться_VERB	-1.617529914
развитие_NOUN	-1.607862647
обсуждаться_VERB	-1.600674997
влиять_VERB	-1.598126972
являться_VERB	-1.593086195
повышение_NOUN	-1.59155099
основываться_VERB	-1.59114387
организованный_ADJ	-1.586383642
согласоваться_VERB	-1.579635526
низация_NOUN	-1.578321237
вовлечение_NOUN	-1.573182789
ответственный_ADJ	-1.564222837
отношение_NOUN	-1.55760294
активизировать_VERB	-1.557138981
взаимодействие_NOUN	-1.557014938
формирование_NOUN	-1.554729624
предпосылка_NOUN	-1.550354994
сохранение_NOUN	-1.548602731
противоречить_VERB	-1.546903043
возможный_ADJ	-1.536222189
возрастать_VERB	-1.535575659
пониматься_VERB	-1.533506777
влияние_NOUN	-1.530099122
пересмотр_NOUN	-1.525954097
незамедлительный_ADJ	-1.524532965
совместный_ADJ	-1.51909312
целое_NOUN	-1.517429836
развиваться_VERB	-1.516217709
единодушный_ADJ	-1.512970184
социально_ADV	-1.512705572
проводиться_VERB	-1.511906025
затрагивать_VERB	-1.509372104
прекращение_NOUN	-1.509365523
взаимоотношение_NOUN	-1.507717988
признанный_ADJ	-1.50421902
негативно_ADV	-1.503998092
правовой_ADJ	-1.500842611
бесконфликтный_ADJ	-1.49869644
межконфессиональный_ADJ	-1.493369821
относиться_VERB	-1.493364917
благоприятный_ADJ	-1.492468525
приоритетный_ADJ	-1.489689366
ежегодный_ADJ	-1.488029791
приостановление_NOUN	-1.487849061
период_NOUN	-1.485214819
предпринимать_VERB	-1.484929728
социально-экономический_ADJ	-1.48219979
обсуждать_VERB	-1.481662407
подвергаться_VERB	-1.480931773
наблюдаться_VERB	-1.480232724
положительно_ADV	-1.478568031
сказываться_VERB	-1.47839791
признавать_VERB	-1.474166203
вхождение_NOUN	-1.47123882
значительный_ADJ	-1.469816799
привлечение_NOUN	-1.468097446
социальный_ADJ	-1.467733774
спорный_ADJ	-1.465451788
демографический_ADJ	-1.46518314
переподчинение_NOUN	-1.464314416
возникновение_NOUN	-1.463258702
продолжаться_VERB	-1.46299365
дальнейший_ADJ	-1.462890914
самостоятельный_ADJ	-1.462419007
приводить_VERB	-1.458915416
межрайонный_ADJ	-1.457852881
исключаться_VERB	-1.455729734
единый_ADJ	-1.455353848
независимость_NOUN	-1.45057606
специфика_NOUN	-1.450090746
внеочередной_ADJ	-1.449414947
общеевропейский_ADJ	-1.448138559
фактический_ADJ	-1.44534751
доведение_NOUN	-1.444677015
начинаться_VERB	-1.443603276
область_NOUN	-1.439672826
повышаться_VERB	-1.438897506
приступать_VERB	-1.437256393
высказываться_VERB	-1.435774668
выявлять_VERB	-1.43449647
гк_NOUN	-1.433941596
вовлекать_VERB	-1.433702214
согласовать_VERB	-1.433522343
намечаться_VERB	-1.432522171
обостряться_VERB	-1.432359695
омский_ADJ	-1.431016447
недопущение_NOUN	-1.428302144
активный_ADJ	-1.427928295
предполагаемый_ADJ	-1.427888822
самарский_ADJ	-1.427748789
завершаться_VERB	-1.427615367
законодательство_NOUN	-1.427456657
строиться_VERB	-1.427373267
составлять_VERB	-1.426944849
недостаточный_ADJ	-1.426877553
экологический_ADJ	-1.426729953
общий_ADJ	-1.425640043
повышать_VERB	-1.42559096
проводить_VERB	-1.42528985
волгоградский_ADJ	-1.425002416
предшествовать_VERB	-1.424975249
развитый_ADJ	-1.422946562
сводиться_VERB	-1.419214617
калининградский_ADJ	-1.419104781
утверждение_NOUN	-1.41830433
активизироваться_VERB	-1.416013837
проживать_VERB	-1.415560174
выделять_VERB	-1.415452261
позитивно_ADV	-1.412905718
представитель_NOUN	-1.412553851
успешно_ADV	-1.411753741
соблюдение_NOUN	-1.411145504
оказывать_VERB	-1.410989472
обеспокоить_VERB	-1.410548303
микросоциум_NOUN	-1.410165373
формировать_VERB	-1.410070666
административный_ADJ	-1.409684142
сотрудничество_NOUN	-1.409479423
совершенствование_NOUN	-1.409313708
икб_NOUN	-1.409263589
культурный_ADJ	-1.409048828
сообщество_NOUN	-1.409048364
распространяться_VERB	-1.408854798
партнерство_NOUN	-1.408851817
удовлетворительный_ADJ	-1.407766911
основный_ADJ	-1.407316294
вынесение_NOUN	-1.406450434
ведение_NOUN	-1.40636694
перспектива_NOUN	-1.405167253
вести_VERB	-1.404987547
нарушать_VERB	-1.404833594
ежегодно_ADV	-1.40464789
всемирный_ADJ	-1.403910388
активность_NOUN	-1.403244867
историко-культурный_ADJ	-1.403012662
межнациональный_ADJ	-1.400494564
конфликт_NOUN	-1.399599477
подтвердить_VERB	-1.399195801
интерес_NOUN	-1.398599344
существование_NOUN	-1.398007881
действующий_ADJ	-1.397310761
перспективный_ADJ	-1.39730696
активно_ADV	-1.396143459
обширный_ADJ	-1.395022954
открытость_NOUN	-1.394911952
сотрудничать_VERB	-1.394309092
первоочередный_ADJ	-1.392361194
повлечь_VERB	-1.392204807
вносить_VERB	-1.391942051
заочно_ADV	-1.39133483
серьезный_ADJ	-1.390968288
улучшение_NOUN	-1.390732155
объединение_NOUN	-1.390059831
экология_NOUN	-1.389119869
существенный_ADJ	-1.387431174
важный_ADJ	-1.387251779
общество_NOUN	-1.386882331
несопоставимый_ADJ	-1.386142509
ограниченный_ADJ	-1.38510247
снижение_NOUN	-1.384917583
международный_ADJ	-1.384888528
обсуждение_NOUN	-1.384743847
наиболее_ADV	-1.383629346
перенести_VERB	-1.382668858
добровольный_ADJ	-1.38104771
доверие_NOUN	-1.380871321
благополучный_ADJ	-1.380362068
конвенционный_ADJ	-1.380313329
ао_NOUN	-1.379456637
слияние_NOUN	-1.377796828
гарантироваться_VERB	-1.377628046
отдельный_ADJ	-1.377454197
проведение_NOUN	-1.377295009
липецкий_ADJ	-1.376374163
завершение_NOUN	-1.374814681
нарушаться_VERB	-1.374329341
всесторонне_ADV	-1.374205134
этический_ADJ	-1.373911054
долговременный_ADJ	-1.373884983
главный_ADJ	-1.373060116
организационный_ADJ	-1.372870077
исключение_NOUN	-1.372571649
регресс_NOUN	-1.371969538
завотделом_NOUN	-1.37136514
существовать_VERB	-1.37109177
дефицит_NOUN	-1.370926435
научно_ADV	-1.370864742
затруднять_VERB	-1.370801786
заинтересованный_ADJ	-1.370764252
восстановление_NOUN	-1.370640314
отсутствие_NOUN	-1.370598675
относительно_ADP	-1.370445907
катастрофический_ADJ	-1.369904953
выявляться_VERB	-1.3698807
пессимистический_ADJ	-1.369858879
комплексный_ADJ	-1.36941707
федеральный_ADJ	-1.36930651
частный_ADJ	-1.369170369
противоречивый_ADJ	-1.368889222
следствие_NOUN	-1.368327085
объединять_VERB	-1.367831813
распределение_NOUN	-1.366279866
интеллектуализация_NOUN	-1.365941991
собственный_ADJ	-1.36581314
республиканский_ADJ	-1.364992052
независимый_ADJ	-1.364429365
некритический_ADJ	-1.364310011
рсо_NOUN	-1.363976911
сокращать_VERB	-1.36313529
сокращение_NOUN	-1.362375509
закон_NOUN	-1.362302804
изменяться_VERB	-1.362032897
кировский_ADJ	-1.361198334
сталкиваться_VERB	-1.360103856
близкий_ADJ	-1.358734912
объясняться_VERB	-1.357446119
благоприятно_ADV	-1.356915719
действовать_VERB	-1.355231941
существенно_ADV	-1.355051637
зависеть_VERB	-1.353979346
достигать_VERB	-1.353870951
плодотворный_ADJ	-1.353038358
юридический_ADJ	-1.35197343
разногласие_NOUN	-1.351793877
связь_NOUN	-1.351593345
муниципальный_ADJ	-1.350905946
констатировать_VERB	-1.350583827
изменение_NOUN	-1.34969405
ликвидация_NOUN	-1.348838146
перемена_NOUN	-1.348787256
единство_NOUN	-1.348517726
окончательный_ADJ	-1.348248164
частность_NOUN	-1.348000264
условие_NOUN	-1.347876166
завершать_VERB	-1.347041763
межрегиональный_ADJ	-1.346697509
систематический_ADJ	-1.346218026
национализация_NOUN	-1.346215001
ущерб_NOUN	-1.343052614
вступать_VERB	-1.3429016
воспроизводство_NOUN	-1.342826363
конгресс_NOUN	-1.342748889
окружающий_ADJ	-1.34240778
регулярный_ADJ	-1.342118255
киевский_ADJ	-1.341034041
провожать_VERB	-1.340763222
зиждиться_VERB	-1.339713996
многие_NOUN	-1.339573274
значимый_ADJ	-1.339571736
ориентированный_ADJ	-1.339308485
сконцентрировать_VERB	-1.339040525
отсутствовать_VERB	-1.33900874
природоохранный_ADJ	-1.338748114
критический_ADJ	-1.338744672
первостепенный_ADJ	-1.338672964
потенциальный_ADJ	-1.338389729
успешный_ADJ	-1.33778126
пессимистичный_ADJ	-1.337682519
финансировать_VERB	-1.337588234
челябинский_ADJ	-1.337149967
перераспределение_NOUN	-1.337056961
хозрасчетный_ADJ	-1.336949405
обращаться_VERB	-1.336501303
тотальный_ADJ	-1.336494275
исходить_VERB	-1.336431728
удовлетворять_VERB	-1.336030876
зубаревич_NOUN	-1.334776225
солидарный_ADJ	-1.334622126
региональный_ADJ	-1.334447861
этап_NOUN	-1.331367313
вышеназванный_ADJ	-1.331173118
сокращаться_VERB	-1.331120617
общественный_ADJ	-1.330966578
утверждать_VERB	-1.330857749
саммит_NOUN	-1.330555773
независимо_ADV	-1.330424188
уточнение_NOUN	-1.330400005
положительный_ADJ	-1.330365364
подразумевать_VERB	-1.330283825
улучшаться_VERB	-1.329227965
подготовка_NOUN	-1.329097939
немедленный_ADJ	-1.328602123
апк_NOUN	-1.327874035
сопровождаться_VERB	-1.327862142
негативный_ADJ	-1.327248196
естественный_ADJ	-1.327022621
стимулировать_VERB	-1.326837482
обмен_NOUN	-1.326675635
замглавы_NOUN	-1.326493732
апо_NOUN	-1.326036502
личностный_ADJ	-1.325154151
кризисный_ADJ	-1.32510796
аспект_NOUN	-1.324413431
макаркин_NOUN	-1.324125191
налаживание_NOUN	-1.323906799
ассоциировать_VERB	-1.323870838
будущий_ADJ	-1.323177893
инициатор_NOUN	-1.323132662
колоссальный_ADJ	-1.322471999
превышать_VERB	-1.322443748
снижаться_VERB	-1.32230427
вызывать_VERB	-1.322193991
особенность_NOUN	-1.321727492
ответственность_NOUN	-1.32153404
политика_NOUN	-1.321178555
образование_NOUN	-1.321110022
хабаровский_ADJ	-1.320085355
важность_NOUN	-1.319897024
мнение_NOUN	-1.319606172
мировой_ADJ	-1.319300859
определять_VERB	-1.319250579
постоянный_ADJ	-1.318624076
взаимодействовать_VERB	-1.318040327
стадия_NOUN	-1.317991928
чр_NOUN	-1.317759605
дифференциация_NOUN	-1.317688165
западный_ADJ	-1.3176152
осуществлять_VERB	-1.317486535
предел_NOUN	-1.316712076
причина_NOUN	-1.315170367
переходить_VERB	-1.314818228
конкретный_ADJ	-1.314769693
экономический_ADJ	-1.313691339
полный_ADJ	-1.313608666
подлежать_VERB	-1.312745069
центральный_ADJ	-1.311998991
ключевой_ADJ	-1.311651587
соответствие_NOUN	-1.3115467
борьба_NOUN	-1.311362174
значительно_ADV	-1.311063034
осложняться_VERB	-1.309453199
принимать_VERB	-1.309170222
масштабный_ADJ	-1.309079332
проинформировать_VERB	-1.308640611
реализация_NOUN	-1.30806596
заинтересовывать_VERB	-1.308053216
госдума_NOUN	-1.306952376
ограничивать_VERB	-1.306221213
пребывание_NOUN	-1.30618206
областной_ADJ	-1.306164066
имущественный_ADJ	-1.306160637
ранее_ADV	-1.306107383
конкуренция_NOUN	-1.306079552
личность_NOUN	-1.305683893
отменять_VERB	-1.305536038
городской_ADJ	-1.305423354
нарушение_NOUN	-1.305086539
культурообразующий_ADJ	-1.304612539
конечный_ADJ	-1.303786468
ухудшаться_VERB	-1.303489116
появление_NOUN	-1.303174401
кардинальный_ADJ	-1.303056027
применимый_ADJ	-1.302606708
правозащитный_ADJ	-1.302554752
содержание_NOUN	-1.302150044
первоначальный_ADJ	-1.301961466
жилищный_ADJ	-1.301299368
совокупность_NOUN	-1.300705402
