	Class	sentID	sent
0	1	бомбардировать#1	Конечно же , Вам не нужно все время бомбардировать ребенка музыкой .
1	1	бомбардировать#2	Добрынин тогда говорил Шевченко , " что Центр бомбардировал Вашингтон своими запросами несколько месяцев .
2	1	бомбардировать#3	Если принять во внимание , как настойчиво « группы с особыми интересами » бомбардируют своими мемами будущих и действующих конгрессменов , а также особенности нашей политической системы , мы легко можем прийти к выводу , что усвоение мемов , принадлежащих « группам с особыми интересами » , есть необходимое условие вступления кандидата в конгресс .
3	1	бомбардировать#4	Before я могу закончить , друзья мои бомбардируют меня вопросами : где лучшее место , чтобы делать покупки ?
4	1	бомбардировать#5	Сигналы настойчиво бомбардировали меня в тот день , но я не придал им особого значения , и вихрь усилился .
5	1	бомбардировать#6	И вообще , как только его сделали епископом , начал бомбардировать Синод прошениями отправить его на покой .
6	1	бомбардировать#7	а там пойдут телеграммами губернатора бомбардировать : " Войска давайте !
7	1	бомбардировать#8	Покупатели активно бомбардировали администрацию магазина вопросами , когда же долгожданные новинки обретут своих новых владельцев .
8	1	бомбардировать#9	Вы подхватываете то , что имеются группы , как на Земле , так и в других сферах , которые буквально бомбардируют сейчас сознание сценариями страха , потому что со страхом они удерживают власть .
9	1	бомбардировать#10	Нина бомбардировала Протасова телеграммами .
10	1	бомбардировать#11	Нас бомбардируют сообщения из СМИ , от врачей о последних новомодных диетах , говорящих нам , какую пищу мы должны считать привлекательной .
11	1	бомбардировать#12	Они буквально бомбардировали службу « 911 » своими нелепыми звонками .
12	1	бомбардировать#13	Председатель ФРС , « иллюзионист » Бен Бернанке , регулярно бомбардирует американский рынок тоннами долларовой наличности , пытаясь тем самым , создать временное ощущение роста экономики .
13	1	бомбардировать#14	Объемы дневных порций писем , бомбардирующих почтовые ящики пользователей Интернета , начинают превышать все разумные рамки .
14	1	бомбардировать#15	Только они не бомбардируют газеты письмами наравне с откровенными психами , хотя , по правде говоря , не особенно от них отличаются .
15	1	бомбардировать#16	После того , как с двух часов дня ее начали бомбардировать по телефону : « Ну как ?
16	1	бомбардировать#17	В итоге правы все , но крайней остается обороноспособность страны , так как офицер , обложившись юридической литературой , начинает бомбардировать суд исками , отбывая на службе номер .
17	1	бомбардировать#18	Радиопередатчики , нацеленные на « встроенные » в мозг человека « приемники » , могут бомбардировать жертвы приказами о сдаче » .
18	1	бомбардировать#19	При прохождении города нас бомбардировали песней « Какой изумительный мир » Луиса Армстронга в стиле техно .
19	1	бомбардировать#20	В данной ситуации мы буквально бомбардировали жалобами и обращениями различные инстанции .
20	1	бомбардировать#21	Если и тебя , моя бедная Прасковья Ивановна , беспокоили из-за меня такими же презренными письмами и , как ты выразилась , " бомбардировали " , то , конечно , первая жалею , что послужила невинною причиной .
21	1	бомбардировать#22	Лиза пыталась вновь « бомбардировать » вероломного возлюбленного - и разговорами по душам , и угрозами .
22	1	бомбардировать#23	По словам Обамы , сейчас медиа - индустрия круглосуточно и семь дней в неделю " бомбардирует " человека данными самого различного рода , причем , многие из них не являются достоверными .
23	1	бомбардировать#24	Карл свой выбор остановил на нем потому , что , находясь на посту посла в Бухаресте , граф бомбардировал свое венское начальство длинными письмами - меморандумами , настаивая на необходимости приступить к мирным переговорам с Антантой , что совпадало с намерениями и планами молодого монарха .
24	1	бомбардировать#25	Нас постоянно бомбардируют призывы к помощи , поэтому для реального участия в чем-либо нужна веская причина .
25	1	бомбардировать#26	Как только потребитель поднимает голову , его начинают бомбардировать брендами .
